"","Tumor_Sample","Healthy_Sample"
"MOCS1",118.3303,700.7572
"MOCS2",820.5043,603.8816
"MOCS3",146.6021,158.4473
"MOGAT1",0.3339,0.6363
"MOGAT2",3.6734,20.0445
"MOGAT3",0,0
"MOGS",2171.3141,1115.8129
"MOG",4.6752,1.2727
"MON1A",214.727,163.538
"MON1B",862.5814,641.4254
"MON2",1488.3954,1722.5581
"MORC1",0,0
"MORC2",2273.1675,988.8641
"MORC3",544.3313,1328.3487
"MORC4",1859.075,600.0636
"MORF4L1",4883.9539,4619.4718
"MORF4L2",5807.3134,4173.7194
"MORF4",4.6752,4.1362
"MORN1",73.1341,90.9959
"MORN2",327.9345,180.0827
"MORN3",47.7542,8.9087
"MORN4",135.5819,167.9924
"MORN5",3.0055,1.5908
"MOSC1",136.5837,455.6157
"MOSC2",207.3802,330.5759
"MOSPD1",364.6686,286.6688
"MOSPD2",344.6318,331.5304
"MOSPD3",414.4264,172.7649
"MOS",0,0
"MOV10L1",4.6752,1.5908
"MOV10",834.8639,724.7852
"MOXD1",1682.4178,349.0296
"MPDU1",575.3916,726.3888
"MPDZ",909.6677,1677.0601
"MPEG1",1090.6662,1461.0245
"MPG",1685.4233,637.2892
"MPHOSPH10",1224.9123,1040.0891
"MPHOSPH6",530.9735,487.1142
"MPHOSPH8",892.6365,1820.5536
"MPHOSPH9",137.5856,112.6312
"MPI",372.3493,503.3408
"MPL",52.0955,26.7261
"MPND",466.522,259.6246
"MPO",1.3358,10.4995
"MPP1",536.9845,556.7929
"MPP2",40.0735,191.2186
"MPP3",119.8865,84.3143
"MPP4",1.6697,0.3182
"MPP5",774.0858,872.7331
"MPP6",159.626,84.3143
"MPP7",284.8556,642.3799
"MPPE1",781.4326,635.062
"MPPED1",0.3339,27.9987
"MPPED2",485.8908,158.1292
"MPRIP",1134.747,2900.0955
"MPST",2058.1065,610.8813
"MPV17L2",386.709,186.7642
"MPV17L",66.1212,156.5383
"MPV17",834.8639,564.1107
"MPZL1",6430.7898,6433.6621
"MPZL2",1414.9274,1377.3465
"MPZL3",113.5415,110.0859
"MPZ",4.6752,27.3624
"MR1",144.9324,186.1279
"MRAP2",92.5029,121.2218
"MRAP",0,90.2482
"MRAS",2315.5786,1939.23
"MRC1",557.3552,1046.4524
"MRC2",5431.2907,6164.8107
"MRE11A",534.9808,621.3808
"MREG",288.529,389.4368
"MRFAP1L1",1121.0553,1326.1215
"MRFAP1",4824.8456,5937.6392
"MRGPRD",0,0
"MRGPRE",46.4184,4.7725
"MRGPRF",84.1543,527.2033
"MRGPRG",0,0
"MRGPRX1",0,0
"MRGPRX2",0,7.9542
"MRGPRX3",0,47.0888
"MRGPRX4",0,1.5908
"MRI1",573.3845,499.2046
"MRM1",93.5048,62.0426
"MRO",28.3854,52.1794
"MRP63",673.7118,568.8514
"MRPL10",699.616,713.013
"MRPL11",669.5609,467.0697
"MRPL12",1710.1352,456.8883
"MRPL13",1194.8572,366.5288
"MRPL14",1178.4939,501.1136
"MRPL15",1098.347,539.6118
"MRPL16",958.4238,527.5215
"MRPL17",1044.2478,610.8813
"MRPL18",865.253,657.0156
"MRPL19",1882.4512,920.7763
"MRPL1",344.9658,334.3939
"MRPL20",1601.8,1014.7375
"MRPL21",736.6839,434.2984
"MRPL22",354.9841,355.7111
"MRPL23",482.2174,311.1677
"MRPL24",1333.1107,743.2389
"MRPL27",602.7717,483.2962
"MRPL28",1061.9469,576.5192
"MRPL2",674.2361,365.2561
"MRPL30",405.9643,641.4222
"MRPL32",529.9716,814.8266
"MRPL33",854.2328,448.616
"MRPL34",1266.6555,437.1619
"MRPL35",540.9918,612.7903
"MRPL36",464.1843,224.308
"MRPL37",1769.2436,819.9173
"MRPL38",1011.8284,579.9936
"MRPL39",294.8739,381.8008
"MRPL3",2725.9977,1200.1273
"MRPL40",581.0653,420.2991
"MRPL41",403.0723,278.0783
"MRPL42P5",0,4.658
"MRPL42",610.7864,670.6968
"MRPL43",709.5141,810.7286
"MRPL44",504.9257,426.0261
"MRPL45",649.1902,948.7751
"MRPL46",276.5069,326.7579
"MRPL47",958.0898,396.4365
"MRPL48",607.447,251.3522
"MRPL49",1476.7073,896.9138
"MRPL4",1171.815,643.6526
"MRPL50",231.4243,390.3913
"MRPL51",4043.079,991.0913
"MRPL52",525.6303,359.2109
"MRPL53",357.6123,307.8142
"MRPL54",335.6153,366.5288
"MRPL55",515.9459,329.6214
"MRPL9",1101.2623,781.6227
"MRPS10",1260.6445,610.5632
"MRPS11",543.9973,378.9373
"MRPS12",630.7664,277.7601
"MRPS14",354.3162,305.7588
"MRPS15",963.099,580.9736
"MRPS16",1361.6931,1134.1807
"MRPS17",186.168,194.4003
"MRPS18A",803.807,488.3869
"MRPS18B",1381.1989,930.3213
"MRPS18C",442.007,307.566
"MRPS21",1434.6302,846.007
"MRPS22",374.353,491.5686
"MRPS23",907.6641,463.5698
"MRPS24",819.5024,725.4216
"MRPS25",751.1939,676.602
"MRPS26",632.4929,523.3853
"MRPS27",820.8382,1195.0366
"MRPS28",248.7928,249.1314
"MRPS2",594.9474,604.8202
"MRPS30",413.7586,355.3929
"MRPS31",233.7619,441.9345
"MRPS33",818.5006,461.3427
"MRPS34",1134.4131,500.7954
"MRPS35",2251.461,930.9577
"MRPS36",265.1528,348.7114
"MRPS5",1418.2668,679.6055
"MRPS6",524.0875,558.2564
"MRPS7",1302.1139,610.1336
"MRPS9",421.1054,502.7044
"MRRF",318.5841,427.9351
"MRS2P2",0.6679,5.0907
"MRS2",1026.8826,457.2065
"MRTO4",1195.8591,784.9189
"MRVI1",132.5764,853.3248
"MS4A10",0,0
"MS4A12",0,0
"MS4A13",0,0
"MS4A14",16.3767,31.244
"MS4A15",44.4148,1.5908
"MS4A1",5.3431,19.4082
"MS4A2",49.09,74.7693
"MS4A3",0,0
"MS4A4A",285.5235,584.4734
"MS4A5",0,0
"MS4A6A",677.9095,1094.1775
"MS4A6E",0,0
"MS4A7",611.7749,1354.3748
"MS4A8B",0,1.909
"MSC",79.2152,95.5488
"MSGN1",0,0.3182
"MSH2",1577.2249,890.8686
"MSH3",248.8596,369.58
"MSH4",5.3431,0.9545
"MSH5",210.7831,169.0837
"MSH6",1947.9045,1343.6207
"MSI1",134.914,54.0885
"MSI2",327.6006,202.0363
"MSL1",1822.341,2419.0264
"MSL2",784.1042,866.0515
"MSL3L2",569.3772,54.4066
"MSL3",546.3349,653.8339
"MSLNL",3.0055,0
"MSLN",12591.0837,116.4493
"MSMB",27.3835,0.6363
"MSMP",17.3652,33.7257
"MSN",16122.558,9798.9182
"MSR1",1159.1251,458.161
"MSRA",82.4846,203.6271
"MSRB2",683.9205,361.1199
"MSRB3",2571.0469,2415.5266
"MST1P2",43.079,98.6319
"MST1P9",34.0624,44.8616
"MST1R",386.375,147.9478
"MST1",17.3652,78.2692
"MST4",1180.8315,342.0299
"MSTN",12.6899,11.454
"MSTO1",804.191,516.7197
"MSTO2P",55.1378,64.5625
"MSX1",33.3946,241.1709
"MSX2P1",0.3339,2.5453
"MSX2",12.6899,105.6316
"MT1A",3.3395,95.132
"MT1B",0,0
"MT1DP",0.3339,0.9545
"MT1E",1424.9457,1902.3226
"MT1F",399.7328,122.1763
"MT1G",143.9305,191.5367
"MT1H",6.345,2.2272
"MT1IP",0,0
"MT1L",185.0058,59.4973
"MT1M",170.9801,338.5301
"MT1X",924.3613,1808.1451
"MT2A",2488.8963,6238.9437
"MT3",1.3358,0.3182
"MT4",0.3339,0
"MTA1",1157.7893,1040.4073
"MTA2",1949.9082,1898.5046
"MTA3",884.2879,742.2844
"MTAP",680.2471,704.7407
"MTBP",206.3784,115.1766
"MTCH1",5587.9112,3590.5186
"MTCH2",3221.5729,1007.9542
"MTCP1NB",933.064,209.8059
"MTCP1",73.114,25.6379
"MTDH",5991.6514,3343.3026
"MTERFD1",537.3184,289.8505
"MTERFD2",210.3857,534.8393
"MTERFD3",181.6664,526.8851
"MTERF",218.0665,131.085
"MTF1",699.616,938.2755
"MTF2",465.5201,617.2447
"MTFMT",200.7013,227.4897
"MTFR1",883.9539,371.3108
"MTG1",202.371,356.6656
"MTHFD1L",718.3169,363.9835
"MTHFD1",1253.0406,940.4391
"MTHFD2L",315.1979,302.5517
"MTHFD2",4247.4537,657.6519
"MTHFR",237.2984,608.8769
"MTHFSD",435.465,325.167
"MTHFS",411.7549,241.1709
"MTIF2",1111.0369,551.0659
"MTIF3",878.2768,676.742
"MTL5",313.2409,117.7219
"MTM1",432.7935,550.1114
"MTMR10",351.8918,1111.3395
"MTMR11",464.8522,323.5762
"MTMR12",1288.0281,1878.7782
"MTMR14",559.3588,674.833
"MTMR15",200.1202,613.4458
"MTMR1",623.1424,752.1476
"MTMR2",1666.0544,871.7786
"MTMR3",2387.0429,1770.2832
"MTMR4",1624.9791,718.1037
"MTMR6",980.7981,977.7283
"MTMR7",95.4183,47.0506
"MTMR8",22.7083,13.363
"MTMR9L",40.0735,218.2628
"MTMR9",269.8247,666.4811
"MTNR1A",1.3358,1.2727
"MTNR1B",0,0
"MTO1",495.2413,356.9838
"MTOR",1434.6302,1485.2052
"MTP18",469.5842,125.0589
"MTPAP",846.552,436.6592
"MTRF1L",276.5069,299.3955
"MTRF1",150.6095,108.8132
"MTRR",699.282,681.5145
"MTR",1479.7128,1521.4763
"MTSS1L",3556.1863,1246.5797
"MTSS1",1154.1159,984.4034
"MTTP",8.6826,0.9545
"MTUS1",4095.1745,2579.0646
"MTUS2",20.3707,31.8167
"MTVR2",0.6679,1.2727
"MTX1",602.0404,443.5094
"MTX2",949.7412,479.16
"MTX3",407.0796,562.2017
"MUC12",3.0055,12.4085
"MUC13",37.4019,4.4543
"MUC15",22.0404,1340.1209
"MUC16",2992.1523,896.5956
"MUC17",0,0
"MUC1",683.2526,1250.7159
"MUC20",702.6215,479.16
"MUC21",0,61.7245
"MUC2",1.0018,0
"MUC4",50.0918,42.6344
"MUC5B",2536.6505,1041.3618
"MUC6",3.6734,31.4986
"MUC7",621.0486,27.6137
"MUCL1",1.0018,179.4464
"MUDENG",615.4617,667.8333
"MUL1",603.7736,769.6468
"MUM1L1",32.3927,131.7213
"MUM1",648.5223,1120.2673
"MURC",14.6936,4.4543
"MUS81",595.7589,473.7512
"MUSK",0,0.6363
"MUSTN1",2.3376,132.6758
"MUTED",127.5672,310.8495
"MUTYH",200.4108,116.9965
"MUT",802.8051,844.4162
"MVD",891.3007,287.6233
"MVK",114.8773,225.5807
"MVP",2738.0197,3317.531
"MX1",5536.8175,1453.3885
"MX2",676.5737,584.4734
"MXD1",411.087,581.6099
"MXD3",225.3298,130.4423
"MXD4",972.7834,1685.3325
"MXI1",920.02,1787.146
"MXRA5",3621.3057,4647.1524
"MXRA7",6927.7008,4837.7346
"MXRA8",1319.7529,2459.7518
"MYADML2",2.3376,0.6363
"MYADML",0.3339,0.3182
"MYADM",5116.38,21404.3907
"MYBBP1A",1478.6676,1250.7795
"MYBL1",1373.5181,77.6328
"MYBL2",582.735,62.0426
"MYBPC1",1440.6412,161.629
"MYBPC2",25.3799,1.2727
"MYBPC3",1.6697,0.3182
"MYBPHL",0.3339,0
"MYBPH",3.0055,7.9542
"MYB",103.1892,650.9704
"MYCBP2",1532.4762,2908.0496
"MYCBPAP",14.6936,6.3633
"MYCBP",402.7517,521.1581
"MYCL1",130.2388,61.0881
"MYCNOS",0,0
"MYCN",7.3468,9.8632
"MYCT1",51.7616,904.5498
"MYC",2424.4448,11117.7219
"MYD88",1209.8848,1082.4053
"MYEF2",500.3106,453.9453
"MYEOV2",532.6432,480.7509
"MYEOV",16.0294,225.2625
"MYF5",0,0
"MYF6",0,2.2272
"MYH10",1055.6019,2487.7506
"MYH11",105.3765,13421.6036
"MYH13",0.6679,0.3182
"MYH14",6652.8636,1825.3261
"MYH15",6.011,1.5908
"MYH16",1.6697,0.9545
"MYH1",1.6697,4.1362
"MYH2",0,0.9545
"MYH3",31.3909,148.9023
"MYH4",0.3339,0.3182
"MYH6",2.0037,0
"MYH7B",5.6771,25.1352
"MYH7",13.3578,0
"MYH8",0,0.3182
"MYH9",44657.2049,32532.6122
"MYL10",0,0
"MYL12A",14073.802,6884.1871
"MYL12B",10528.3019,6389.1187
"MYL1",0,0
"MYL2",0,0.3182
"MYL3",4.6752,8.5905
"MYL4",1.0018,2.8635
"MYL5",83.827,101.3204
"MYL6B",716.3132,428.2533
"MYL6",18428.4522,14365.8925
"MYL7",0,29.2714
"MYL9",2557.0212,10381.8008
"MYLIP",288.8629,1182.9462
"MYLK2",16.0294,3.818
"MYLK3",8.3486,5.0907
"MYLK4",24.0441,62.3608
"MYLK",7213.5315,12204.2539
"MYLPF",0.3339,0.9545
"MYNN",565.7038,564.1107
"MYO10",2846.886,965.0016
"MYO15A",30.389,13.363
"MYO15B",333.9456,1321.6672
"MYO16",36.734,13.363
"MYO18A",1393.8754,3123.1721
"MYO18B",0.6679,4.7725
"MYO19",726.1646,421.1613
"MYO1A",0,2.5453
"MYO1B",1871.097,1862.8699
"MYO1C",4589.7479,5817.6901
"MYO1D",3638.6709,1574.2921
"MYO1E",2033.7285,1232.8985
"MYO1F",284.5216,323.8944
"MYO1G",113.5415,112.6312
"MYO1H",2.0037,10.4995
"MYO3A",80.4809,10.4995
"MYO3B",37.068,5.727
"MYO5A",1305.3932,1312.1222
"MYO5B",2223.4062,1198.2183
"MYO5C",1130.9334,1776.0452
"MYO6",4457.1715,3124.7216
"MYO7A",118.2167,371.3013
"MYO7B",6.6789,12.0904
"MYO9A",523.9606,1003.4998
"MYO9B",2387.7108,1650.3341
"MYOCD",0,45.1798
"MYOC",0,532.6122
"MYOD1",0,0.3182
"MYOF",2995.1578,8223.9898
"MYOG",0,0
"MYOM1",56.1029,230.6713
"MYOM2",4.6752,51.2249
"MYOM3",10.3523,86.5415
"MYOT",3.6734,4.1362
"MYOZ1",4.3413,16.5447
"MYOZ2",0.3339,6.3633
"MYOZ3",14.3597,26.0897
"MYPN",1.3358,0
"MYPOP",222.4077,111.6767
"MYRIP",3.6734,332.8031
"MYSM1",165.9709,220.8081
"MYST1",508.933,680.2418
"MYST2",1039.2386,1028.6351
"MYST3",1415.5953,2193.1276
"MYST4",562.6983,1137.4483
"MYT1L",0.3339,0.3182
"MYT1",1.0018,2.2272
"MZF1",144.2845,384.0025
"N4BP1",1582.568,1487.4324
"N4BP2L1",176.3233,755.9656
"N4BP2L2",1279.0115,2119.6309
"N4BP2",149.6076,288.896
"N4BP3",300.885,188.0369
"N6AMT1",165.3031,250.0795
"N6AMT2",112.2057,156.2202
"NAA10",1107.6974,618.1992
"NAA11",0,0
"NAA15",1526.4652,1053.1339
"NAA16",228.0848,353.1658
"NAA20",1196.8609,838.0528
"NAA25",533.3111,587.6551
"NAA30",428.1182,567.9287
"NAA35",537.6524,393.573
"NAA38",435.465,398.6637
"NAA40",540.3239,452.434
"NAA50",3102.6883,2794.7821
"NAAA",568.0414,606.7451
"NAALAD2",10.0184,136.4938
"NAALADL1",24.378,111.0404
"NAALADL2",134.2461,492.8412
"NAB1",1378.1934,1950.3659
"NAB2",594.0892,927.776
"NACA2",107.1965,89.7232
"NACAD",65.1194,203.6271
"NACAP1",156.2865,160.3563
"NACA",16439.4724,16179.4464
"NACC1",1746.5353,959.2746
"NACC2",57.1047,60.4518
"NADK",1270.9968,1147.9478
"NADSYN1",706.6288,750.2386
"NAE1",1149.7746,797.9637
"NAF1",148.6058,263.1244
"NAGA",1763.5665,859.6882
"NAGK",1138.7544,1039.7709
"NAGLU",508.933,718.1037
"NAGPA",227.2199,154.6293
"NAGS",96.5103,34.6802
"NAIF1",154.9507,218.581
"NAIP",63.4497,104.6771
"NALCN",411.087,136.1756
"NAMPT",2192.3526,4927.1397
"NANOG",0.3339,0.3182
"NANOS1",368.342,185.8097
"NANOS2",0,0
"NANOS3",2.6716,7.9542
"NANP",340.2905,181.3554
"NANS",743.3628,713.013
"NAP1L1",7211.8885,7325.4852
"NAP1L2",32.0588,192.4913
"NAP1L3",74.4699,127.5851
"NAP1L4",2018.367,2612.7903
"NAP1L5",34.0624,381.8008
"NAP1L6",7.0129,3.818
"NAPA",2671.8951,2147.2829
"NAPB",298.8813,286.987
"NAPEPLD",479.9265,335.4407
"NAPG",1161.1287,833.2803
"NAPRT1",430.7898,447.9796
"NAPSA",20.0367,141.5845
"NAPSB",78.1433,177.8556
"NARFL",633.4947,343.6207
"NARF",1026.2147,635.062
"NARG2",677.9095,1002.2272
"NARS2",376.6906,299.0773
"NARS",2561.0286,2723.5126
"NASP",1724.8289,2537.0665
"NAT10",1845.3832,1068.406
"NAT14",310.5694,133.6303
"NAT15",1244.9491,918.5492
"NAT1",36.0661,124.0853
"NAT2",0.6679,0.9545
"NAT6",104.9023,131.7754
"NAT8B",3.6734,0.9545
"NAT8L",53.7652,138.721
"NAT8",27.0496,0
"NAT9",1032.5597,396.7547
"NAV1",584.4047,1623.2899
"NAV2",2940.5009,2750.5027
"NAV3",42.745,351.2568
"NBAS",1297.3785,1129.4941
"NBEAL1",366.0043,338.8482
"NBEAL2",829.5208,1420.6172
"NBEA",308.8996,346.4843
"NBL1",3185.5068,5348.7114
"NBLA00301",21.3725,37.8619
"NBN",2530.3056,1456.252
"NBPF10",721.8501,1223.1594
"NBPF14",483.1925,295.3325
"NBPF15",104.191,102.8985
"NBPF16",86.4919,64.9061
"NBPF1",817.1648,865.097
"NBPF22P",2.6716,0
"NBPF3",119.2186,137.7665
"NBPF4",50.4258,0.9545
"NBPF6",10.3523,0.3182
"NBPF7",0.6679,1.2727
"NBPF9",393.8988,344.6484
"NBR1",2197.0279,4379.8918
"NBR2",4.0073,66.497
"NCALD",659.5425,2761.3745
"NCAM1",103.5231,359.8377
"NCAM2",7.3468,60.1336
"NCAN",5.3431,0.9545
"NCAPD2",4134.2461,929.3668
"NCAPD3",1008.8496,502.7044
"NCAPG2",584.7387,313.713
"NCAPG",500.0601,48.8101
"NCAPH2",983.4697,580.0191
"NCAPH",201.3692,49.9523
"NCBP1",929.8681,686.5447
"NCBP2",3245.617,1562.5199
"NCCRP1",148.9397,207.7633
"NCDN",823.1758,595.9179
"NCEH1",1095.3415,662.1063
"NCF1B",10.6863,53.7703
"NCF1C",34.0624,44.5434
"NCF1",82.1506,61.0881
"NCF2",400.4007,297.8046
"NCF4",166.9728,263.7607
"NCK1",1382.2007,771.5558
"NCK2",2019.7028,1312.4403
"NCKAP1L",433.1274,430.1623
"NCKAP1",9006.178,4377.9828
"NCKAP5L",376.6906,883.8689
"NCKAP5",125.8975,243.7162
"NCKIPSD",391.7181,553.293
"NCLN",1576.891,867.006
"NCL",13268.9932,13253.8976
"NCOA1",1637.3351,2300.35
"NCOA2",705.627,815.1448
"NCOA3",1156.7874,1539.2937
"NCOA4",5025.5468,4853.3248
"NCOA5",972.1155,1083.0417
"NCOA6",2034.3964,1393.2549
"NCOA7",1643.3461,5209.036
"NCOR1",1872.0988,2421.2536
"NCOR2",2811.8217,4082.7235
"NCR1",0.3339,0.3182
"NCR2",0.3339,0
"NCR3",3.6734,4.4543
"NCRNA00028",0.3339,0
"NCRNA00029",0,0
"NCRNA00032",0.3339,0.6363
"NCRNA00051",0,0
"NCRNA00052",0,0
"NCRNA00081",150.2454,232.4626
"NCRNA00085",76.8075,98.95
"NCRNA00086",47.7542,165.7652
"NCRNA00087",20.0367,62.3608
"NCRNA00092",26.7156,55.3611
"NCRNA00093",0,12.9303
"NCRNA00094",481.6196,508.7337
"NCRNA00095",43.079,41.3618
"NCRNA00099",0,0
"NCRNA00105",49.4239,45.8543
"NCRNA00107",7.6807,9.8632
"NCRNA00110",0.6679,9.8632
"NCRNA00111",0,0
"NCRNA00112",0,0
"NCRNA00113",1.0018,0
"NCRNA00114",0,0
"NCRNA00115",41.4093,20.999
"NCRNA00116",126.2314,160.3563
"NCRNA00119",1.0018,0.9545
"NCRNA00120",31.7248,48.0433
"NCRNA00152",100.8516,125.9943
"NCRNA00157",0.3339,0
"NCRNA00158",0,0.6363
"NCRNA00159",0,0
"NCRNA00160",7.6807,0.6363
"NCRNA00161",0,0.9545
"NCRNA00162",16.0294,10.8177
"NCRNA00164",1.6697,1.2727
"NCRNA00167",1.6697,1.909
"NCRNA00169",2.0037,4.4543
"NCRNA00171",25.0259,21.3904
"NCRNA00173",4.3413,12.0904
"NCRNA00174",71.7983,106.2679
"NCRNA00175",0,1.2727
"NCRNA00176",7.0129,8.2724
"NCRNA00181",97.9028,107.8778
"NCRNA00182",34.7303,80.1782
"NCRNA00183",300.885,228.126
"NCRNA00185",0,0
"NCRNA00188",8550.6762,7527.2033
"NCRNA00189",1.6697,2.5453
"NCRNA00200",0,0
"NCRNA00201",940.6812,1180.2832
"NCRNA00202",7.3468,5.727
"NCRNA00203",0.3339,0
"NCRNA00204B",5.0092,7.636
"NCRNA00207",0,0
"NCRNA00219",196.6939,464.8425
"NCRNA00230B",0,0
"NCRNA00235",1.6697,2.5453
"NCS1",675.5719,515.7493
"NCSTN",3077.1448,2135.8034
"NDC80",407.7475,27.3624
"NDE1",833.6784,403.4044
"NDEL1",1054.6001,1557.4292
"NDFIP1",2850.2254,3395.8002
"NDFIP2",1051.9285,835.5075
"NDNL2",175.6554,504.9316
"NDN",135.9158,835.5075
"NDOR1",284.1877,363.6653
"NDP",201.3692,33.4076
"NDRG1",5396.8943,6777.2829
"NDRG2",5046.5854,11194.7184
"NDRG3",1378.8612,912.8221
"NDRG4",976.1229,199.1728
"NDST1",1752.5463,4727.0124
"NDST2",340.9584,605.7906
"NDST3",4.6752,0.6363
"NDST4",0,0
"NDUFA10",1389.5475,1309.2587
"NDUFA11",1992.4962,1138.0846
"NDUFA12",429.7879,489.3414
"NDUFA13",3343.6033,1607.9001
"NDUFA1",1870.0952,947.1842
"NDUFA2",530.3056,623.2899
"NDUFA3",574.3864,373.8466
"NDUFA4L2",137.2516,342.9844
"NDUFA4",3313.074,2033.4076
"NDUFA5",1538.8212,1257.7156
"NDUFA6",1306.729,637.9255
"NDUFA7",700.9517,350.6204
"NDUFA8",617.4654,576.5192
"NDUFA9",2461.8467,816.0993
"NDUFAB1",735.6821,529.7486
"NDUFAF1",126.2314,272.0331
"NDUFAF2",134.2461,148.5842
"NDUFAF3",813.4914,690.7413
"NDUFAF4",458.1733,283.8053
"NDUFB10",1296.3767,791.2822
"NDUFB11",1080.9818,782.6917
"NDUFB1",348.3052,446.0706
"NDUFB2",1870.4124,827.5469
"NDUFB3",1031.5579,420.6172
"NDUFB4",1321.7566,1107.8587
"NDUFB5",1959.9265,914.413
"NDUFB6",587.4103,550.1114
"NDUFB7",1686.7591,796.0547
"NDUFB8",903.3562,1063.5062
"NDUFB9",5669.3939,1426.3506
"NDUFC1",752.3794,558.7019
"NDUFC2",1625.647,1478.2055
"NDUFS1",1324.7621,1044.2253
"NDUFS2",2324.2611,1432.3894
"NDUFS3",1560.5543,800.5759
"NDUFS4",682.5847,587.6551
"NDUFS5",2213.3912,1504.2953
"NDUFS6",1231.9252,576.5192
"NDUFS7",716.8643,509.2523
"NDUFS8",1117.0479,576.2011
"NDUFV1",1887.4603,1715.2402
"NDUFV2",1843.7135,1019.4082
"NDUFV3",495.2413,616.6083
"NEAT1",5941.2256,23950.6841
"NEBL",6207.0463,2065.5425
"NEB",18.367,18.4537
"NECAB1",34.0624,197.2638
"NECAB2",5.3431,5.4088
"NECAB3",281.5161,264.7152
"NECAP1",1074.3029,834.553
"NECAP2",1631.992,1387.846
"NEDD1",423.7769,626.7897
"NEDD4L",812.8235,1279.0328
"NEDD4",389.7145,691.6958
"NEDD8",1550.1753,1461.979
"NEDD9",409.0833,5587.0188
"NEFH",23.7101,55.043
"NEFL",9.0165,11.1359
"NEFM",3.8838,27.9892
"NEGR1",195.3582,855.8702
"NEIL1",64.7854,202.9908
"NEIL2",647.5205,375.7556
"NEIL3",82.8185,1.5908
"NEK10",4.0073,118.3583
"NEK11",167.6407,259.9427
"NEK1",308.2318,543.1117
"NEK2",755.3849,14.9539
"NEK3",284.5216,190.5822
"NEK4",310.2354,510.3404
"NEK5",8.0147,9.2269
"NEK6",633.1608,608.6542
"NEK7",1404.909,1938.5937
"NEK8",56.4368,76.6783
"NEK9",986.1413,2209.6723
"NELF",1423.276,725.7397
"NELL1",3.0055,0
"NELL2",118.8846,73.1785
"NENF",1535.1478,892.4594
"NEO1",492.5697,1648.4251
"NES",738.0197,3486.4779
"NET1",5801.3024,2596.2456
"NETO1",0,8.9087
"NETO2",405.076,154.6293
"NEU1",2907.6641,1443.2071
"NEU2",0,0
"NEU3",116.547,95.4502
"NEU4",2.0037,3.1817
"NEURL1B",860.2438,946.8661
"NEURL2",16.8309,27.1524
"NEURL3",95.8424,78.9055
"NEURL4",344.2745,597.1524
"NEURL",3.3395,7.3178
"NEUROD1",0,0
"NEUROD2",0.3339,0
"NEUROD4",0,0
"NEUROD6",0,0
"NEUROG1",0,0
"NEUROG2",0,13.6812
"NEUROG3",0,0.3182
"NEXN",429.1201,840.9163
"NF1P1",0,0
"NF1",1665.0526,2306.077
"NF2",1403.5732,733.0576
"NFAM1",238.4371,215.0811
"NFASC",139.1785,870.2864
"NFAT5",2038.7377,3035.9529
"NFATC1",620.4709,975.1829
"NFATC2IP",420.4375,742.6026
"NFATC2",33.7285,199.4909
"NFATC3",717.983,854.9157
"NFATC4",168.6425,868.915
"NFE2L1",12134.2461,7453.0703
"NFE2L2",3344.9524,4183.7416
"NFE2L3",2675.9058,296.2138
"NFE2",4.0073,10.8177
"NFIA",424.7788,2155.5838
"NFIB",5908.165,5966.9106
"NFIC",1099.0149,895.0048
"NFIL3",857.5722,2228.4442
"NFIX",5990.9835,4188.3551
"NFKB1",1295.7088,1727.6487
"NFKB2",1200.2004,1083.0417
"NFKBIA",1468.3587,3459.7518
"NFKBIB",729.0032,332.4849
"NFKBID",32.0588,100.2227
"NFKBIE",541.3258,208.0815
"NFKBIL1",409.0833,451.1613
"NFKBIL2",251.0736,120.9036
"NFKBIZ",329.2703,2720.9672
"NFRKB",1121.0553,879.0964
"NFS1",562.3643,457.8428
"NFU1",514.9441,649.0614
"NFX1",759.7262,1204.8998
"NFXL1",562.184,274.5784
"NFYA",1561.1955,1122.4944
"NFYB",442.1439,959.5927
"NFYC",1218.6442,881.2599
"NGB",0.3339,0
"NGDN",461.1788,609.2905
"NGEF",314.2428,76.9965
"NGFRAP1",1438.9714,1473.1149
"NGFR",63.1157,1567.2924
"NGF",5.6771,37.5437
"NGLY1",741.3592,716.5129
"NGRN",3651.3475,2259.4496
"NHEDC1",5.6771,6.6815
"NHEDC2",418.4338,216.0356
"NHEG1",0,0
"NHEJ1",188.1316,285.727
"NHLH1",3.3395,3.818
"NHLH2",1.6697,1.5908
"NHLRC1",203.0389,38.4983
"NHLRC2",164.9691,210.6268
"NHLRC3",627.4837,838.371
"NHLRC4",8.6826,51.5431
"NHP2L1",3152.1122,1894.3684
"NHP2",1769.2436,948.7751
"NHSL1",679.2453,459.1155
"NHSL2",41.7432,168.9469
"NHS",259.1418,334.7121
"NICN1",212.2224,429.6946
"NID1",2600.728,3957.2669
"NID2",558.023,581.6099
"NIF3L1",507.9312,421.5717
"NINJ1",1900.8182,1236.7165
"NINJ2",357.1815,104.3589
"NINL",650.192,314.0312
"NIN",1486.0578,1530.385
"NIP7",1064.6185,747.6933
"NIPA1",310.9033,455.9338
"NIPA2",752.3794,979.9555
"NIPAL1",75.4717,108.4951
"NIPAL2",152.2792,336.6211
"NIPAL3",2139.9232,1461.3427
"NIPAL4",11.3541,2.8635
"NIPBL",1388.8796,2505.5679
"NIPSNAP1",3540.157,862.8699
"NIPSNAP3A",598.4305,613.7448
"NIPSNAP3B",27.7175,91.0213
