"","Tumor_Sample","Healthy_Sample"
"ADAM8",413.0907,104.0407
"ADAM9",3403.9072,2187.4006
"ADAMDEC1",147.9379,22.2717
"ADAMTS10",446.1513,225.2625
"ADAMTS12",107.8644,115.1766
"ADAMTS13",42.4111,82.7235
"ADAMTS14",73.1341,10.4995
"ADAMTS15",20.7046,157.811
"ADAMTS16",127.9012,317.8492
"ADAMTS17",20.0367,41.0436
"ADAMTS18",29.7212,107.8587
"ADAMTS19",5.0092,9.545
"ADAMTS1",1354.4832,22968.1833
"ADAMTS20",0,1.5908
"ADAMTS2",344.9658,529.4305
"ADAMTS3",58.4405,138.721
"ADAMTS4",292.8703,2234.1712
"ADAMTS5",212.0554,2344.5752
"ADAMTS6",27.3835,26.7261
"ADAMTS7",192.0187,81.4508
"ADAMTS8",4.3413,73.4967
"ADAMTS9",453.832,953.2294
"ADAMTSL1",47.4203,169.5832
"ADAMTSL2",292.5363,101.1772
"ADAMTSL3",124.5617,485.5234
"ADAMTSL4",158.2902,1748.966
"ADAMTSL5",13.0239,54.4066
"ADAP1",333.7552,111.5017
"ADAP2",258.4739,270.7604
"ADARB1",1717.4821,811.3268
"ADARB2",1.0018,5.727
"ADAR",10332.6098,6277.7601
"ADAT1",393.7218,286.0325
"ADAT2",205.3765,179.4464
"ADAT3",51.7616,28.9532
"ADA",151.9452,168.9469
"ADCK1",194.6903,137.1301
"ADCK2",704.6251,571.7467
"ADCK4",524.2945,542.1572
"ADCK5",178.9948,86.8597
"ADCY10",1.6697,1.909
"ADCY1",36.4001,424.4353
"ADCY2",1766.2381,88.4505
"ADCY3",1988.8896,2137.986
"ADCY4",52.4295,672.6058
"ADCY5",7.6807,333.7576
"ADCY6",639.1718,2346.8024
"ADCY7",1397.5622,836.462
"ADCY8",0.3339,9.545
"ADCY9",535.9826,807.1906
"ADCYAP1R1",0.3339,36.2711
"ADCYAP1",14.3597,95.7684
"ADC",169.3104,146.9933
"ADD1",3044.5817,6106.2679
"ADD2",102.8552,87.1779
"ADD3",1350.8098,4672.6058
"ADH1A",1.0018,68.406
"ADH1B",6.345,9928.7305
"ADH1C",0.6679,400.2545
"ADH4",0.3339,84.3143
"ADH5",2556.0194,2937.321
"ADH6",3.3395,0.3182
"ADH7",0,0
"ADHFE1",173.6517,107.5406
"ADI1",2124.2278,1802.7362
"ADIG",0,0
"ADIPOQ",1.0018,3803.3726
